zip,state_abbr,state,congressional_district,representative_name,party,bioguide_id,lookup_status,active_on,source_zip_district,source_member
80517,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80520,CO,Colorado,8,Gabe Evans,Republican,E000300,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80521,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80524,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80524,CO,Colorado,4,Lauren Boebert,Republican,B000825,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80524,CO,Colorado,8,Gabe Evans,Republican,E000300,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80525,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80525,CO,Colorado,4,Lauren Boebert,Republican,B000825,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80526,CO,Colorado,2,Joe Neguse,Democrat,N000191,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
80526,CO,Colorado,4,Lauren Boebert,Republican,B000825,matched_district_member,2026-05-26,https://raw.githubusercontent.com/OpenSourceActivismTech/us-zipcodes-congress/master/zccd.csv,https://raw.githubusercontent.com/unitedstates/congress-legislators/main/legislators-current.yaml
